SPFlórida Paulista;351600;3516002;SP;Flórida Paulista;Região Sudeste;12848;Pequeno I;;
SPFlorínia;351610;3516101;SP;Florínia;Região Sudeste;2829;Pequeno I;;
SPFranca;351620;3516200;SP;Franca;Região Sudeste;318640;Grande;;
SPFrancisco Morato;351630;3516309;SP;Francisco Morato;Região Sudeste;154472;Grande;;
SPFranco da Rocha;351640;3516408;SP;Franco da Rocha;Região Sudeste;131604;Grande;;
SPGabriel Monteiro;351650;3516507;SP;Gabriel Monteiro;Região Sudeste;2708;Pequeno I;;
SPGália;351660;3516606;SP;Gália;Região Sudeste;7011;Pequeno I;;
SPGarça;351670;3516705;SP;Garça;Região Sudeste;43115;Pequeno II;;
SPGastão Vidigal;351680;3516804;SP;Gastão Vidigal;Região Sudeste;4193;Pequeno I;;
SPGavião Peixoto;351685;3516853;SP;Gavião Peixoto;Região Sudeste;4419;Pequeno I;;
SPGeneral Salgado;351690;3516903;SP;General Salgado;Região Sudeste;10669;Pequeno I;;
SPGetulina;351700;3517000;SP;Getulina;Região Sudeste;10765;Pequeno I;;
SPGlicério;351710;3517109;SP;Glicério;Região Sudeste;4565;Pequeno I;;
SPGuaiçara;351720;3517208;SP;Guaiçara;Região Sudeste;10670;Pequeno I;;
SPGuaimbê;351730;3517307;SP;Guaimbê;Região Sudeste;5425;Pequeno I;;
SPGuaíra;351740;3517406;SP;Guaíra;Região Sudeste;37404;Pequeno II;;
SPGuapiaçu;351750;3517505;SP;Guapiaçu;Região Sudeste;17869;Pequeno I;;
SPGuapiara;351760;3517604;SP;Guapiara;Região Sudeste;17998;Pequeno I;;
SPGuará;351770;3517703;SP;Guará;Região Sudeste;19858;Pequeno I;;
SPGuaraçaí;351780;3517802;SP;Guaraçaí;Região Sudeste;8435;Pequeno I;;
SPGuaraci;351790;3517901;SP;Guaraci;Região Sudeste;9976;Pequeno I;;
SPGuarani D'oeste;351800;3518008;SP;Guarani D´oeste;Região Sudeste;1970;Pequeno I;;
SPGuarantã;351810;3518107;SP;Guarantã;Região Sudeste;6404;Pequeno I;;
SPGuararapes;351820;3518206;SP;Guararapes;Região Sudeste;30597;Pequeno II;;
SPGuararema;351830;3518305;SP;Guararema;Região Sudeste;25844;Pequeno II;;
SPGuaratinguetá;351840;3518404;SP;Guaratinguetá;Região Sudeste;112072;Grande;;
SPGuareí;351850;3518503;SP;Guareí;Região Sudeste;14565;Pequeno I;;
SPGuariba;351860;3518602;SP;Guariba;Região Sudeste;35486;Pequeno II;;
SPGuarujá;351870;3518701;SP;Guarujá;Região Sudeste;290752;Grande;;
SPGuarulhos;351880;3518800;SP;Guarulhos;Região Sudeste;1221979;Metrópole;;
SPGuatapará;351885;3518859;SP;Guatapará;Região Sudeste;6966;Pequeno I;;
SPGuzolândia;351890;3518909;SP;Guzolândia;Região Sudeste;4754;Pequeno I;;
SPHerculândia;351900;3519006;SP;Herculândia;Região Sudeste;8696;Pequeno I;;
SPHolambra;351905;3519055;SP;Holambra;Região Sudeste;11299;Pequeno I;;
SPHortolândia;351907;3519071;SP;Hortolândia;Região Sudeste;192692;Grande;;
SPIacanga;351910;3519105;SP;Iacanga;Região Sudeste;10013;Pequeno I;;
SPIacri;351920;3519204;SP;Iacri;Região Sudeste;6419;Pequeno I;;
SPIaras;351925;3519253;SP;Iaras;Região Sudeste;6376;Pequeno I;;
SPIbaté;351930;3519303;SP;Ibaté;Região Sudeste;30734;Pequeno II;;
SPIbirá;351940;3519402;SP;Ibirá;Região Sudeste;10896;Pequeno I;;
SPIbirarema;351950;3519501;SP;Ibirarema;Região Sudeste;6725;Pequeno I;;
SPIbitinga;351960;3519600;SP;Ibitinga;Região Sudeste;53158;Médio;;
SPIbiúna;351970;3519709;SP;Ibiúna;Região Sudeste;71217;Médio;;
SPIcém;351980;3519808;SP;Icém;Região Sudeste;7462;Pequeno I;;
SPIepê;351990;3519907;SP;Iepê;Região Sudeste;7628;Pequeno I;;
SPIgaraçu do Tietê;352000;3520004;SP;Igaraçu do Tietê;Região Sudeste;23362;Pequeno II;;
SPIgarapava;352010;3520103;SP;Igarapava;Região Sudeste;27952;Pequeno II;;
SPIgaratá;352020;3520202;SP;Igaratá;Região Sudeste;8831;Pequeno I;;
SPIguape;352030;3520301;SP;Iguape;Região Sudeste;28841;Pequeno II;;
SPIlhabela;352040;3520400;SP;Ilhabela;Região Sudeste;28196;Pequeno II;;
